RB_ID,KO_Name
3015,DIE GRÜNEN – Ludwig Stiegler [SPD]
3016,DIE GRÜNEN – Ulrike Flach [FDP]
3024,selber lachen! – Dagmar Wöhrl [CDU/CSU]
3030, Jörg Tauss [SPD]
3031,ter] [SPD]
3032,alt! – Lothar Mark [SPD]
3032,DIE GRÜNEN – Otto Fricke [FDP]
3035,DIE GRÜNEN – Dirk Niebel [FDP]
3036,Hans Michelbach [CDU/CSU]
3036,Erika Lotz [SPD]
3038,SPD – Dr. Guido Westerwelle [FDP]
3044,Volker Kauder [CDU/CSU]
3044,Ihnen! – Klaus Uwe Benneter [SPD]
3044,der FDP – Dietrich Austermann [CDU/CSU]
3044,Anja Hajduk [BÜNDNIS 90/DIE GRÜNEN]
3047,Schmidt [Salzgitter] [SPD]
3049,tung! – Karin Rehbock-Zureich [SPD]
3050,gleich lassen! – Dr. Heinrich L. Kolb [FDP]
3054,Krista Sager [BÜNDNIS 90/DIE GRÜNEN]
3056,gnädig! – Dr. Peter Ramsauer [CDU/CSU]
3057,gut! – Hans Michelbach [CDU/CSU]
3058,hausen] [CDU/CSU]
3063,Röttgen [CDU/CSU]
3063,Friedrich [Bayreuth] [FDP]
3063,Fornahl [SPD]
3066,Kumpf [SPD]
3068,bach] [SPD]
3070,Wilhelm Schmidt [Salzgitter] [SPD]
3079,Kauder [CDU/CSU]
3079,Kauder [CDU/CSU]
3080,Regierung! – Volker Kauder [CDU/CSU]
3084,gen] [CDU/CSU]
3084,Gerhardt [FDP]
3087, Petra Ernstberger [SPD]
3087,der CDU/CSU – Volker Kauder [CDU/CSU]
3090,Krista Sager [BÜNDNIS 90/DIE GRÜNEN]
3092, Iris Gleicke [SPD]
3092,fall! – Dr. Guido Westerwelle [FDP]
3093,Kampeter [CDU/CSU]
3095,neten der SPD – Dr. Heinrich L. Kolb [FDP]
3100,Fricke [FDP]
3102,peter [CDU/CSU]
3104,GRÜNEN – Dr. Carl-Christian Dressel [SPD]
3107,Westerwelle [FDP]
3109,Tauss [SPD]
3111,Klaus Uwe Benneter [SPD]
3114,der SPD – Jörg Tauss [SPD]
3116,Frank Spieth [DIE LINKE]
3119,rungsantrag! – Steffen Kampeter [CDU/CSU]
3119,bei der SPD – Volker Kauder [CDU/CSU]
3120,Jörg van Essen [FDP]
3120, Hartmut Schauerte [CDU/CSU]
3121,der SPD – Dr. Dieter Wiefelspütz [SPD]
3125,van Essen [FDP]
3126,Küster [SPD]
3127,Ludwig Thiele [FDP]
3131,nicht! – Ina Lenke [FDP]
3139,Westerwelle [FDP]
3139,berg] [SPD]
3140,Hans-Michael Goldmann [FDP]
3151,Lötzsch [DIE LINKE]
3153,Schneider [Saarbrücken] [DIE LINKE]
3153,neten der SPD – Ulrike Flach [FDP]
3155,Fritz Kuhn [BÜNDNIS 90/DIE GRÜNEN]
3166,KEN – Dr. Dagmar Enkelmann [DIE LINKE]
3166,Merkel [Berlin] [SPD]
3172,Ulrich Kelber [SPD]
3174,ist! – Dr. Guido Westerwelle [FDP]
3174,haaf [SPD]
3176,Kampeter [CDU/CSU]
3181,Lenke [FDP]
3183,Elke Ferner [SPD]
3191,Binninger [CDU/CSU]
3195,Klaus Riegert [CDU/CSU]
3199,Michael Goldmann [FDP]
3199,Jerzy Montag [BÜNDNIS 90/DIE GRÜNEN]
3199,Westerwelle [FDP]
3199,er denn? – Steffen Kampeter [CDU/CSU]
3200,Kampeter [CDU/CSU]
3200,DIE GRÜNEN – Carl-Ludwig Thiele [FDP]
3202,Marks [SPD]
3204,der CDU/CSU – Jörg van Essen [FDP]
3209,der LINKEN – Volker Kauder [CDU/CSU]
3213,Werner Dreibus [DIE LINKE]
3218,Westerwelle [FDP]
3220,Koppelin [FDP]
3224,Andres [SPD]
3224,Kuhn [BÜNDNIS 90/DIE GRÜNEN]
3232,born] [BÜNDNIS 90/DIE GRÜNEN]
3241,neten der SPD – Carl-Ludwig Thiele [FDP]
3244,Kauder [CDU/CSU]
3248,Jürgen Trittin [BÜNDNIS 90/DIE GRÜNEN]
3251,Volker Kauder [CDU/CDU]
3256,Kauder [CDU/CSU]
3256,Thomas Oppermann [SPD]
3256,Heil [Peine] [SPD]
3256,neten der FDP – Ute Kumpf [SPD]
3258,Joachim Poß [SPD]
3261,Bartol [SPD]
3263,das reicht nicht!  Elke Ferner [SPD]
3263,Homburger [FDP]
3263,Barthle [CDU/CSU]
3264,der FDP – Ulrich Kelber [SPD]
3264,Schirmbeck [CDU/CSU]
3269,Hubertus Heil [Peine] [SPD]
3270,nang] [SPD]
3274,Poland [CDU/CSU]
3275,Koppelin [FDP]
3278,Andreae [BÜNDNIS 90/DIE GRÜNEN]
3282,Jürgen Trittin [BÜNDNIS 90/DIE GRÜNEN]
3283,und der FDP – Volker Kauder [CDU/CSU]
3284,den! – Hans-Joachim Hacker [SPD]
3285,Oppermann [SPD]
3285,GRÜNEN – Joachim Poß [SPD]
3286,GRÜNEN – Frank Hofmann [Volkach] [SPD]
3289,NEN] – Jörg van Essen [FDP]
3291, Heinz Lanfermann [FDP]
3291,mal gut! – Volker Kauder [CDU/CSU]
3292,Kalb [CDU/CSU]
3292,GRÜNEN – Bartholomäus Kalb [CDU/CSU]
3293,Anton Schaaf [SPD]
3293,Kuhn [BÜNDNIS 90/DIE GRÜNEN]
3294,Michael Groschek [SPD]
3294,lich! – Volker Kauder [CDU/CSU]
3301,Hubertus Heil [Peine] [SPD]
3301,neten der FDP – Elke Ferner [SPD]
3302,rich [Hof] [CDU/CSU]
3302,der CDU/CSU – Hubertus Heil [Peine] [SPD]
3302,LINKEN – Wolfgang Gehrcke [DIE LINKE]
3303,Christian Lange [Backnang] [SPD]
3303, Volker Kauder [CDU/CSU]
3304,Sigmar Gabriel [SPD]
3312,Gustav Herzog [SPD]
3317,Swen Schulz [Spandau] [SPD]
3318,Klaus Ernst [DIE LINKE]
3319, Thomas Oppermann [SPD]
3319,DIE GRÜNEN – René Röspel [SPD]
3319,Heil [Peine] [SPD]
3319,Volker Kauder [CDU/CSU]
3321,chen bei der SPD – Gustav Herzog [SPD]
3323,Jens Spahn [CDU/CSU]
3323,Beck [Köln] [BÜNDNIS 90/DIE GRÜNEN]
3324,Hartwig Fischer [Göttingen] [CDU/CSU]
3325,Jörg van Essen [FDP]
3325,Haßelmann [BÜNDNIS 90/DIE GRÜNEN]
3325,Trittin [BÜNDNIS 90/DIE GRÜNEN]
3331,bert Barthle [CDU/CSU]
3331,NEN] – Dr. Martin Lindner [Berlin] [FDP]
3333,der CDU/CSU – Elke Ferner [SPD]
3336,Ulrich Kelber [SPD]
3338,LINKEN – Jimmy Schulz [FDP]
3338,Patrick Meinhardt [FDP]
3346,Schweickert [FDP]
3347,der FDP – Elke Ferner [SPD]
3347,Ulrich Kelber [SPD]
3356,Grindel [CDU/CSU]
3358,Hubertus Heil [Peine] [SPD]
3359,der FDP – Dr. Dieter Wiefelspütz [SPD]
3362,GRÜNEN – Dr. Erik Schweickert [FDP]
3363,Volker Kauder [CDU/CSU]
3365,Joachim Poß [SPD]
3367,Gustav Herzog [SPD]
3369,Oh! – Rainer Brüderle [FDP]
3371,Joachim Poß [SPD]
3372,Anette Kramme [SPD]
3374,Scheelen [SPD]
3375,lingen-Schwenningen] [CDU/CSU]
3375,Kauder [CDU/CSU]
3375,Peter Willsch [CDU/CSU]
3375,Gleicke [SPD]
3382, Peer Steinbrück [SPD]
3384, Iris Gleicke [SPD]
3386,Ulrich Kelber [SPD]
3390,Krischer [BÜNDNIS 90/DIE GRÜNEN]
3392,Neumann [Lausitz] [FDP]
3392,regierung? – Hubertus Heil [Peine] [SPD]
3402,Bernd Scheelen [SPD]
3404,der CDU/CSU – Thomas Oppermann [SPD]
3406,Künast [BÜNDNIS 90/DIE GRÜNEN]
3409,LINKEN – Volker Kauder [CDU/CSU]
3411,Eckardt [BÜNDNIS 90/DIE GRÜNEN]
3413,Volker Kauder [CDU/CSU]
3415,Manfred Grund [CDU/CSU]
3417,Brömer [CDU/CSU]
3427,der SPD – Dr. Diether Dehm [DIE LINKE]
3429,Kauder [CDU/CSU]
3430,Kindler [BÜNDNIS 90/DIE GRÜNEN]
3430,Weiss [Wesel I] [CDU/CSU]
3431,Wilms [BÜNDNIS 90/DIE GRÜNEN]
3440,SPD – Swen Schulz [Spandau] [SPD]
3445,Zimmermann [DIE LINKE]
3448,lich! – Michael Grosse-Brömer [CDU/CSU]
3448,Rehberg [CDU/CSU]
3448,Schipanski [CDU/CSU]
3449,dentin! – Volker Kauder [CDU/CSU]
3450,Gehring [BÜNDNIS 90/DIE GRÜNEN]
3450,Grosse-Brömer [CDU/CSU]
3462,Brömer [CDU/CSU]
3462,Matthias W. Birkwald [DIE LINKE]
3474,Brömer [CDU/CSU]
3477,Alexander Ulrich [DIE LINKE]
3482,Grosse-Brömer [CDU/CSU]
3486,Oppermann [SPD]
3489,Frank Schwabe [SPD]
3491,Klaus Ernst [DIE LINKE]
3504,Hubertus Heil (Peine) [SPD]
3505,Harald Weinberg [DIE LINKE]
3506,GRÜNEN] – Mechthild Rawert [SPD]
3509,Hänsel [DIE LINKE]
3515,Maik Beermann [CDU/CSU]
3519,Steffi Lemke [BÜNDNIS 90/DIE GRÜNEN]
3520,Dr . Kirsten Tackmann [DIE LINKE]
3520,Trittin [BÜNDNIS 90/DIE GRÜNEN]
3522,Volker Kauder [CDU/CSU]
3522,Grosse-Brömer [CDU/CSU]
3523,delberg] [SPD]
3523,Wilms [BÜNDNIS 90/DIE GRÜNEN]
3523,Dr . Dietmar Bartsch [DIE LINKE]
3525,CSU] – Volker Kauder [CDU/CSU]
3525,Bartsch [DIE LINKE]
3526,Eckardt [BÜNDNIS 90/DIE GRÜNEN]
3526,Michael Grosse-Brömer [CDU/CSU]
3527,der CDU/CSU – Ulli Nissen [SPD]
3527,Mechthild Rawert [SPD]
3529,Volker Kauder [CDU/CSU]
3531,Eckardt [BÜNDNIS 90/DIE GRÜNEN]
3532,Schublade! – Gustav Herzog [SPD]
3532,burg] [BÜNDNIS 90/DIE GRÜNEN]
3532,Frank Tempel [DIE LINKE]
3535,Notz [BÜNDNIS 90/DIE GRÜNEN]
3542,Hubertus Heil [Peine] [SPD]
3542,W . Birkwald [DIE LINKE]
3543,Michael Grosse-Brömer [CDU/CSU]
3543,gen! – Sören Bartol [SPD]
3544,Gastel [BÜNDNIS 90/DIE GRÜNEN]
3545, Immerhin! – Marcus Held [SPD]
3546,Lazar [BÜNDNIS 90/DIE GRÜNEN]
3554,Grund! – Johannes Kahrs [SPD]
3554,Hagedorn [SPD]
3559,Michael Grosse-Brömer [CDU/CSU]
3563,Volker Kauder [CDU/CSU]
3563,Irene Mihalic [BÜNDNIS 90/DIE GRÜNEN]
3565,Maas! – Dr . Volker Ullrich [CDU/CSU]
3567,Krischer [BÜNDNIS 90/DIE GRÜNEN]
3567,Manfred Grund [CDU/CSU]
3567,Lengsfeld [CDU/CSU]
3567,Krischer [BÜNDNIS 90/DIE GRÜNEN]
3572,Matthias W . Birkwald [DIE LINKE]
3573,Grosse-Brömer [CDU/CSU]
3573,Fechner [SPD]
3575,Sören Bartol [SPD]
3577,Sönke Rix [SPD]
3579,Haßelmann [BÜNDNIS 90/DIE GRÜNEN]
3579,GRÜNEN] – Heike Hänsel [DIE LINKE]
3581,Alexander Gauland [AfD]
3592,Schön [CDU/CSU] – Ulli Nissen [SPD]
3593,Dobrindt [CDU/CSU]
3596,Brömer [CDU/CSU]
3601,Unfug? – Dr . Daniela De Ridder [SPD]
3603,gen] [CDU/CSU]
3603,Dr . Alice Weidel [AfD]
3604,vorher informiert! – Dr . Alice Weidel [AfD]
3606,Weidel [AfD]
3606,Dr . Marco Buschmann [FDP]
3606,Braun [AfD]
3607,von Storch [AfD]
3609,Grosse-Brömer [CDU/CSU]
3609,mer [CDU/CSU]
3614,Braun [AfD]
3616,Braun [AfD]
3617,Schneider [Erfurt] [SPD]
3617,Michael Grosse-Brömer [CDU/CSU]
3618,dam] [DIE LINKE]
3618,der CDU/CSU – Ulli Nissen [SPD]
3619,Andrea Nahles [SPD]
3620,Blödsinn! – Johannes Kahrs [SPD]
3622,dingen] [CDU/CSU]
3626,Abg . Michael Grosse-Brömer [CDU/CSU]
3626,furt] [SPD]
3627,Grosse-Brömer [CDU/CSU]
3627,Konstantin Kuhle [FDP]
3628,mer [CDU/CSU]
3628,Jürgen Braun [AfD]
3631,Hocker [FDP]
3631,zen! – Martin Hebner [AfD]
3631,gen] [CDU/CSU]
3636,Dobrindt [CDU/CSU]
3637,er [SPD]
3637,ist das! – Nicole Gohlke [DIE LINKE]
3642,bingen] [BÜNDNIS 90/DIE GRÜNEN]
3643,Haßelmann [BÜNDNIS 90/DIE GRÜNEN]
3643,Michael Theurer [FDP]
3644,Dr . Volker Ullrich [CDU/CSU]
3644,Brömer [CDU/CSU]
3645,werden! – Dr . Marco Buschmann [FDP]
3646,Brömer [CDU/CSU]
3651,neten der SPD – Dr. Alice Weidel [AfD]
3654,Dürr [FDP]
3660,Houben [FDP]
3660,Buschmann [FDP]
3661,Nissen [SPD]
3663,Birkwald [DIE LINKE]
3664,Leier! – Ulli Nissen [SPD]
3674,Haßelmann [BÜNDNIS 90/DIE GRÜNEN]
3678,Grosse-Brömer [CDU/CSU]
3680,Grosse-Brömer [CDU/CSU]
3690,Haßelmann [BÜNDNIS 90/DIE GRÜNEN]
3692,der CDU/CSU – Otto Fricke [FDP]
3702,Matthias W. Birkwald [DIE LINKE]
3704,neten der FDP – Marian Wendt [CDU/CSU]
3704,Sarrazin [BÜNDNIS 90/DIE GRÜNEN]
3708,KEN – Michael Grosse-Brömer [CDU/CSU]
3708,Künast [BÜNDNIS 90/DIE GRÜNEN]
3712,Nissen [SPD]
3712,Hartwig [AfD]
3716, Martin Hess [AfD]
3718,Moment! – Carsten Schneider [Erfurt] [SPD]
3720,DIE GRÜNEN – Konstantin Kuhle [FDP]
3721,Grosse-Brömer [CDU/CSU]
3728,Alexander Dobrindt [CDU/CSU]
3728,Haßelmann [BÜNDNIS 90/DIE GRÜNEN]
3739,Strasser [FDP]
3739,Paulus Hampel [AfD]
3739,berg] [SPD]
3742,Kleinwächter [AfD]
3744,der CDU/CSU – Marianne Schieder [SPD]
3745,Agnes Strack-Zimmermann [FDP]
