ID;NACHNAME;VORNAME;ORTSZUSATZ;ADEL;PRAEFIX;ANREDE_TITEL;GESCHLECHT;BERUF;PARTEI_KURZ;WP
11000047;Arndt;Adolf;Berlin;;;Dr.;männlich;Rechtsanwalt;SPD;5
11000047;Arndt;Adolf;Berlin/Köln;;;Dr.;männlich;Rechtsanwalt;SPD;1
11000047;Arndt;Adolf;Berlin/Köln;;;Dr.;männlich;Rechtsanwalt;SPD;2
11000047;Arndt;Adolf;Berlin/Köln;;;Dr.;männlich;Rechtsanwalt;SPD;3
11000047;Arndt;Adolf;Berlin/Köln;;;Dr.;männlich;Rechtsanwalt;SPD;4
11000047;Arndt;Adolf;Berlin/Köln;;;Dr.;männlich;Rechtsanwalt;SPD;5
11000048;Arndt;Claus;Hamburg;;;Prof. Dr.;männlich;Senatsdirektor;SPD;5
11000048;Arndt;Claus;Hamburg;;;Prof. Dr.;männlich;Senatsdirektor;SPD;6
11000048;Arndt;Claus;Hamburg;;;Prof. Dr.;männlich;Senatsdirektor;SPD;7
11000049;Arndt;Klaus Dieter;Berlin;;;Dr.;männlich;Volkswirt;SPD;5
11000049;Arndt;Klaus Dieter;Berlin;;;Dr.;männlich;Volkswirt;SPD;6
11000049;Arndt;Klaus Dieter;Berlin;;;Dr.;männlich;Volkswirt;SPD;7
11000050;Arnholz;Otto;;;;;männlich;Verwaltungsbeamter;SPD;1
11000050;Arnholz;Otto;;;;;männlich;Verwaltungsbeamter;SPD;2
11000051;Arnold;Gottfried;;;;Dr.;männlich;Rechtsanwalt;CDU;4
11000051;Arnold;Gottfried;;;;Dr.;männlich;Rechtsanwalt;CDU;5
11000051;Arnold;Gottfried;;;;Dr.;männlich;Rechtsanwalt;CDU;6
11000051;Arnold;Gottfried;;;;Dr.;männlich;Rechtsanwalt;CDU;7
11000051;Arnold;Gottfried;;;;Dr.;männlich;Rechtsanwalt;CDU;8
11000051;Arnold;Gottfried;;;;Dr.;männlich;Rechtsanwalt;CDU;9
11000052;Arnold;Karl;;;;Dr.;männlich;Ministerpräsident;CDU;3
11000053;Arnold;Thea;;;;;weiblich;Rektorin;FU;1
11000053;Arnold;Thea;;;;;weiblich;Rektorin;FU;1
11000053;Arnold;Thea;;;;;weiblich;Rektorin;FU;1
11000054;Artzinger;Helmut;;;;Dr.;männlich;Prokurist;CDU;4
11000054;Artzinger;Helmut;;;;Dr.;männlich;Prokurist;CDU;5
11000054;Artzinger;Helmut;;;;Dr.;männlich;Prokurist;CDU;6
11000054;Artzinger;Helmut;;;;Dr.;männlich;Prokurist;CDU;7
11000055;Aschoff;Albrecht;;;;Dr.;männlich;Rechtsanwalt;FDP;4
11000056;Assmann;Heinz;;;;;männlich;Bezirksleiter, Gewerkschaftssekretär;SPD;9
11000057;Atzenroth;Karl;;;;Dr.;männlich;Fabrikant;FDP;1
11000057;Atzenroth;Karl;;;;Dr.;männlich;Fabrikant;FDP;2
11000057;Atzenroth;Karl;;;;Dr.;männlich;Fabrikant;FDP;3
11000057;Atzenroth;Karl;;;;Dr.;männlich;Fabrikant;FDP;4
11000058;Auch;Dieter;;;;;männlich;Werkzeugmacher, Geschäftsführer;SPD;9
11000059;Auge;Heinrich;;;;;männlich;Rektor , Oberbürgermeister;SPD;3
11000059;Auge;Heinrich;;;;;männlich;Rektor , Oberbürgermeister;SPD;4
11000059;Auge;Heinrich;;;;;männlich;Rektor , Oberbürgermeister;SPD;5
11000060;Augstein;Hans-Jürgen;;;;;männlich;Rechtsanwalt;SPD;7
11000060;Augstein;Hans-Jürgen;;;;;männlich;Rechtsanwalt;SPD;8
11000061;Augstein;Rudolf;Hamburg;;;;männlich;Verleger;FDP;7
11000062;Augustin;Anneliese;;;;;weiblich;Apothekerin;CDU;10
11000062;Augustin;Anneliese;;;;;weiblich;Apothekerin;CDU;11
11000062;Augustin;Anneliese;;;;;weiblich;Apothekerin;CDU;12
11000062;Augustin;Anneliese;;;;;weiblich;Apothekerin;CDU;13
11000063;Augustinowitz;Jürgen;;;;;männlich;Bankkaufmann;CDU;12
11000063;Augustinowitz;Jürgen;;;;;männlich;Bankkaufmann;CDU;13
11000064;Auhagen;Hendrik;;;;;männlich;Studienassessor;GRÜNE;10
11000065;Aumer;Hermann;;;;;männlich;Staatskommissar;BP;1
11000065;Aumer;Hermann;;;;;männlich;Staatskommissar;BP;1
11000066;Austermann;Dietrich;;;;;männlich;Rechtsanwalt, Stadtdirektor , LM;CDU;9
11000066;Austermann;Dietrich;;;;;männlich;Rechtsanwalt, Stadtdirektor , LM;CDU;10
11000066;Austermann;Dietrich;;;;;männlich;Rechtsanwalt, Stadtdirektor , LM;CDU;11
11000066;Austermann;Dietrich;;;;;männlich;Rechtsanwalt, Stadtdirektor , LM;CDU;12
11000066;Austermann;Dietrich;;;;;männlich;Rechtsanwalt, Stadtdirektor , LM;CDU;13
11000066;Austermann;Dietrich;;;;;männlich;Rechtsanwalt, Stadtdirektor , LM;CDU;14
11000066;Austermann;Dietrich;;;;;männlich;Rechtsanwalt, Stadtdirektor , LM;CDU;15
11000067;Baack;Herbert;;;;;männlich;Oberwerkmeister;SPD;6
11000067;Baack;Herbert;;;;;männlich;Oberwerkmeister;SPD;7
11000067;Baack;Herbert;;;;;männlich;Oberwerkmeister;SPD;8
11000067;Baack;Herbert;;;;;männlich;Oberwerkmeister;SPD;9
11000068;Baade;Fritz;;;;Dr.;männlich;o. Universitätsprofessor;SPD;1
11000068;Baade;Fritz;;;;Dr.;männlich;o. Universitätsprofessor;SPD;2
11000068;Baade;Fritz;;;;Dr.;männlich;o. Universitätsprofessor;SPD;3
11000068;Baade;Fritz;;;;Dr.;männlich;o. Universitätsprofessor;SPD;4
11000069;Babel;Gisela;;;;Dr.;weiblich;Hausfrau;FDP;12
11000069;Babel;Gisela;;;;Dr.;weiblich;Hausfrau;FDP;13
11000070;Bach;Franz Josef;;;;Dr.;männlich;Botschafter;CDU;6
11000071;Bach;Robert;;;;;männlich;Bergmann;SPD;3
11000072;Bachmaier;Hermann;;;;;männlich;Rechtsanwalt;SPD;10
11000072;Bachmaier;Hermann;;;;;männlich;Rechtsanwalt;SPD;11
11000072;Bachmaier;Hermann;;;;;männlich;Rechtsanwalt;SPD;12
11000072;Bachmaier;Hermann;;;;;männlich;Rechtsanwalt;SPD;13
11000072;Bachmaier;Hermann;;;;;männlich;Rechtsanwalt;SPD;14
11000072;Bachmaier;Hermann;;;;;männlich;Rechtsanwalt;SPD;15
11000073;Bading;Harri;;;;;männlich;Dipl.-Landwirt;SPD;3
11000073;Bading;Harri;;;;;männlich;Dipl.-Landwirt;SPD;4
11000073;Bading;Harri;;;;;männlich;Dipl.-Landwirt;SPD;5
11000074;Bärsch;Siegfried;;;;Dr.;männlich;Arzt;SPD;1
11000074;Bärsch;Siegfried;;;;Dr.;männlich;Arzt;SPD;2
11000074;Bärsch;Siegfried;;;;Dr.;männlich;Arzt;SPD;3
11000075;Baeuchle;Hans-Joachim;;;;;männlich;Bürgermeister;SPD;6
11000076;Bäuerle;Willi;;;;;männlich;Technischer Zeichner;SPD;4
11000076;Bäuerle;Willi;;;;;männlich;Technischer Zeichner;SPD;5
11000076;Bäuerle;Willi;;;;;männlich;Technischer Zeichner;SPD;6
11000076;Bäuerle;Willi;;;;;männlich;Technischer Zeichner;SPD;7
11000077;Bäumer;Rudolf;;;;;männlich;Geschäftsführer;SPD;3
11000077;Bäumer;Rudolf;;;;;männlich;Geschäftsführer;SPD;4
11000078;Bahlburg;Wilhelm;;;;;männlich;Baumeister;DP;1
11000078;Bahlburg;Wilhelm;;;;;männlich;Baumeister;DP;1
11000078;Bahlburg;Wilhelm;;;;;männlich;Baumeister;DP;1
11000078;Bahlburg;Wilhelm;;;;;männlich;Baumeister;DP;1
11000079;Bahner;Dietrich;;;;;männlich;Dipl.-Kaufmann, mittelständiger Unternehmer;CDU;8
11000079;Bahner;Dietrich;;;;;männlich;Dipl.-Kaufmann, mittelständiger Unternehmer;CDU;9
11000080;Bahr;Egon;;;;Prof.;männlich;Abgeordneter, Bundesminister;SPD;7
11000080;Bahr;Egon;;;;Prof.;männlich;Abgeordneter, Bundesminister;SPD;8
11000080;Bahr;Egon;;;;Prof.;männlich;Abgeordneter, Bundesminister;SPD;9
11000080;Bahr;Egon;;;;Prof.;männlich;Abgeordneter, Bundesminister;SPD;10
11000080;Bahr;Egon;;;;Prof.;männlich;Abgeordneter, Bundesminister;SPD;11
11000081;Baier;Fritz;Buchen;;;;männlich;Angestellter, Oberbürgermeister;CDU;2
11000081;Baier;Fritz;Buchen;;;;männlich;Angestellter, Oberbürgermeister;CDU;3
11000081;Baier;Fritz;Buchen;;;;männlich;Angestellter, Oberbürgermeister;CDU;4
11000081;Baier;Fritz;Buchen;;;;männlich;Angestellter, Oberbürgermeister;CDU;5
11000081;Baier;Fritz;Buchen;;;;männlich;Angestellter, Oberbürgermeister;CDU;6
11000081;Baier;Fritz;Buchen;;;;männlich;Angestellter, Oberbürgermeister;CDU;7
11000081;Baier;Fritz;Mosbach;;;;männlich;Angestellter, Oberbürgermeister;CDU;2
11000081;Baier;Fritz;Mosbach;;;;männlich;Angestellter, Oberbürgermeister;CDU;3
11000081;Baier;Fritz;Mosbach;;;;männlich;Angestellter, Oberbürgermeister;CDU;4
11000081;Baier;Fritz;Mosbach;;;;männlich;Angestellter, Oberbürgermeister;CDU;5
11000081;Baier;Fritz;Mosbach;;;;männlich;Angestellter, Oberbürgermeister;CDU;6
11000081;Baier;Fritz;Mosbach;;;;männlich;Angestellter, Oberbürgermeister;CDU;7
11000081;Baier;Fritz;;;;;männlich;Angestellter, Oberbürgermeister;CDU;2
11000081;Baier;Fritz;;;;;männlich;Angestellter, Oberbürgermeister;CDU;3
11000081;Baier;Fritz;;;;;männlich;Angestellter, Oberbürgermeister;CDU;4
11000081;Baier;Fritz;;;;;männlich;Angestellter, Oberbürgermeister;CDU;5
11000081;Baier;Fritz;;;;;männlich;Angestellter, Oberbürgermeister;CDU;6
11000081;Baier;Fritz;;;;;männlich;Angestellter, Oberbürgermeister;CDU;7
11000082;Baldauf;Albert;;;;;männlich;Elektromeister;CDU;3
11000082;Baldauf;Albert;;;;;männlich;Elektromeister;CDU;4
11000083;Balke;Siegfried;;;;Dr.;männlich;Honorarprofessor, Senator e.h., Chemiker;CSU;3
11000083;Balke;Siegfried;;;;Dr.;männlich;Honorarprofessor, Senator e.h., Chemiker;CSU;4
11000083;Balke;Siegfried;;;;Dr.;männlich;Honorarprofessor, Senator e.h., Chemiker;CSU;5
11000084;Balkenhol;Bernhard;;;;;männlich;Einzelhandelskaufmann;CDU;3
11000084;Balkenhol;Bernhard;;;;;männlich;Einzelhandelskaufmann;CDU;4
11000084;Balkenhol;Bernhard;;;;;männlich;Einzelhandelskaufmann;CDU;5
11000084;Balkenhol;Bernhard;;;;;männlich;Einzelhandelskaufmann;CDU;6
11000085;Bals;Hans;;;;;männlich;Angestellter;SPD;2
11000085;Bals;Hans;;;;;männlich;Angestellter;SPD;3
11000085;Bals;Hans;;;;;männlich;Angestellter;SPD;4
11000085;Bals;Hans;;;;;männlich;Angestellter;SPD;5
11000085;Bals;Hans;;;;;männlich;Angestellter;SPD;6
11000086;Balser;Frolinde;;;;Dr.;weiblich;Wissenschaftliche Mitarbeiterin;SPD;8
11000087;Baltes;Andreas;;;;;männlich;Dipl.-Volkswirt, Dozent;SPD;5
11000088;Bamberg;Georg;;;;;männlich;Bundesbahnamtmann;SPD;9
11000088;Bamberg;Georg;;;;;männlich;Bundesbahnamtmann;SPD;10
11000088;Bamberg;Georg;;;;;männlich;Bundesbahnamtmann;SPD;11
11000089;Bangemann;Martin;;;;Dr.;männlich;Jurist, Bundesminister;FDP;7
11000089;Bangemann;Martin;;;;Dr.;männlich;Jurist, Bundesminister;FDP;8
11000089;Bangemann;Martin;;;;Dr.;männlich;Jurist, Bundesminister;FDP;11
11000090;Banse;Wilhelm;;;;;männlich;Journalist;SPD;2
11000091;Barbe;Angelika;;;;;weiblich;Dipl.-Biologin;SPD;11
11000091;Barbe;Angelika;;;;;weiblich;Dipl.-Biologin;SPD;12
11000092;Barche;Hermann;;;;;männlich;Angestellter;SPD;5
11000092;Barche;Hermann;;;;;männlich;Angestellter;SPD;6
11000092;Barche;Hermann;;;;;männlich;Angestellter;SPD;7
11000093;Bard;Sabine;;;;Dr.;weiblich;Tierärztin;GRÜNE;10
11000093;Bard-Kröniger;Sabine;;;;Dr.;weiblich;Tierärztin;GRÜNE;10
11000094;Bardens;Hans;;;;Dr.;männlich;Facharzt für innere Medizin;SPD;5
11000094;Bardens;Hans;;;;Dr.;männlich;Facharzt für innere Medizin;SPD;6
11000094;Bardens;Hans;;;;Dr.;männlich;Facharzt für innere Medizin;SPD;7
11000094;Bardens;Hans;;;;Dr.;männlich;Facharzt für innere Medizin;SPD;8
11000094;Bardens;Hans;;;;Dr.;männlich;Facharzt für innere Medizin;SPD;9
11000095;Bargfrede;Heinz-Günter;;;;;männlich;Postbeamter a.D.;CDU;12
11000095;Bargfrede;Heinz-Günter;;;;;männlich;Postbeamter a.D.;CDU;13
11000096;Barlage;Heinrich;;;;;männlich;Baustoffgroßhändler;CDU;2
11000097;Bartels;Wolfgang;;;;Dr.;männlich;Rechtsanwalt und Notar;CDU;3
11000098;Barthel;Lothar;;;;;männlich;Rechtsanwalt;CDU;11
11000099;Bartram;Walter;;;;Dr.;männlich;Kaufmann;CDU;1
11000099;Bartram;Walter;;;;Dr.;männlich;Kaufmann;CDU;2
11000100;Bartsch;Holger;;;;;männlich;Dipl.-Ökonom;SPD;12
11000101;Bartsch;Willy;;;;;männlich;Verwaltungsangestellter;SPD;4
11000101;Bartsch;Willy;;;;;männlich;Verwaltungsangestellter;SPD;5
11000101;Bartsch;Willy;;;;;männlich;Verwaltungsangestellter;SPD;6
11000102;Barzel;Rainer;;;;Dr.;männlich;Präsident DBT a.D.;CDU;3
11000102;Barzel;Rainer;;;;Dr.;männlich;Präsident DBT a.D.;CDU;4
11000102;Barzel;Rainer;;;;Dr.;männlich;Präsident DBT a.D.;CDU;5
11000102;Barzel;Rainer;;;;Dr.;männlich;Präsident DBT a.D.;CDU;6
11000102;Barzel;Rainer;;;;Dr.;männlich;Präsident DBT a.D.;CDU;7
